Website,Agency,Bureau,Office
strbase.nist.gov,Department of Commerce,NIST,
survey.nist.gov,Department of Commerce,NIST,
tac.nist.gov,Department of Commerce,NIST,
tcamt.nist.gov,Department of Commerce,NIST,
time.gov,Department of Commerce,NIST,
toolcatalog.nist.gov,Department of Commerce,NIST,
trc.nist.gov,Department of Commerce,NIST,
trec.nist.gov,Department of Commerce,NIST,
trecvid.nist.gov,Department of Commerce,NIST,
tsapps.nist.gov,Department of Commerce,NIST,
uncertainty.nist.gov,Department of Commerce,NIST,
usgv6-deploymon.nist.gov,Department of Commerce,NIST,
visiblecement.nist.gov,Department of Commerce,NIST,
vmsshare.nist.gov,Department of Commerce,NIST,
vocab.nist.gov,Department of Commerce,NIST,
webbook.nist.gov,Department of Commerce,NIST,
wipp-plugins.nist.gov,Department of Commerce,NIST,
ws680.nist.gov,Department of Commerce,NIST,
wtt-lite.nist.gov,Department of Commerce,NIST,
wtt-pro.nist.gov,Department of Commerce,NIST,
www-nlpir.nist.gov,Department of Commerce,NIST,
zeno.nist.gov,Department of Commerce,NIST,
adios.orr.noaa.gov,Department of Commerce,NOAA,
adp.noaa.gov,Department of Commerce,NOAA,
airquality.weather.gov,Department of Commerce,NOAA,
alaskafisheries.noaa.gov,Department of Commerce,NOAA,
alerts-v2.weather.gov,Department of Commerce,NOAA,
alerts.weather.gov,Department of Commerce,NOAA,
alpha.ngs.noaa.gov,Department of Commerce,NOAA,
amdar.ncep.noaa.gov,Department of Commerce,NOAA,
amdar.noaa.gov,Department of Commerce,NOAA,
americansamoa.noaa.gov,Department of Commerce,NOAA,
aocground.omao.noaa.gov,Department of Commerce,NOAA,
aoml.noaa.gov,Department of Commerce,NOAA,
app.coastalscience.noaa.gov,Department of Commerce,NOAA,
apps-afsc.fisheries.noaa.gov,Department of Commerce,NOAA,
apps-garfo.fisheries.noaa.gov,Department of Commerce,NOAA,
apps-pifsc.fisheries.noaa.gov,Department of Commerce,NOAA,
apps-sefsc.fisheries.noaa.gov,Department of Commerce,NOAA,
apps.arl.noaa.gov,Department of Commerce,NOAA,
apps.nmfs.noaa.gov,Department of Commerce,NOAA,
apps.nssl.noaa.gov,Department of Commerce,NOAA,
archive.fisheries.noaa.gov,Department of Commerce,NOAA,
archive.oceanexplorer.noaa.gov,Department of Commerce,NOAA,
arctic.noaa.gov,Department of Commerce,NOAA,
arl.noaa.gov,Department of Commerce,NOAA,
atlhmscatchshares.fisheries.noaa.gov,Department of Commerce,NOAA,
aviationweather.gov,Department of Commerce,NOAA,
beaconregistration.noaa.gov,Department of Commerce,NOAA,
beta.ngs.noaa.gov,Department of Commerce,NOAA,
beta.weather.gov,Department of Commerce,NOAA,
bigsouthfork.atdd.noaa.gov,Department of Commerce,NOAA,
blog.marinedebris.noaa.gov,Department of Commerce,NOAA,
blog.response.restoration.noaa.gov,Department of Commerce,NOAA,
boulder.noaa.gov,Department of Commerce,NOAA,
buoybay.noaa.gov,Department of Commerce,NOAA,
bycatchreporting.fisheries.noaa.gov,Department of Commerce,NOAA,
cafe.orr.noaa.gov,Department of Commerce,NOAA,
california-mdc.diver.orr.noaa.gov,Department of Commerce,NOAA,
cameo.noaa.gov,Department of Commerce,NOAA,
cameochemicals.noaa.gov,Department of Commerce,NOAA,
campcreek.atdd.noaa.gov,Department of Commerce,NOAA,
cams.nssl.noaa.gov,Department of Commerce,NOAA,
carbontracker.noaa.gov,Department of Commerce,NOAA,
carto.bldc.nwave.noaa.gov,Department of Commerce,NOAA,
carto.ctc.nwave.noaa.gov,Department of Commerce,NOAA,
carto.nwave.noaa.gov,Department of Commerce,NOAA,
cbexapp.noaa.gov,Department of Commerce,NOAA,
cbrfc.noaa.gov,Department of Commerce,NOAA,
cbwofs.nssl.noaa.gov,Department of Commerce,NOAA,
cdhc.noaa.gov,Department of Commerce,NOAA,
celebrating200years.noaa.gov,Department of Commerce,NOAA,
certificate.seafoodinspection.nmfs.noaa.gov,Department of Commerce,NOAA,
cfs.ncep.noaa.gov,Department of Commerce,NOAA,
channelislands.noaa.gov,Department of Commerce,NOAA,
charts.noaa.gov,Department of Commerce,NOAA,
ci.noaa.gov,Department of Commerce,NOAA,
class.noaa.gov,Department of Commerce,NOAA,
clearinghouse.marinedebris.noaa.gov,Department of Commerce,NOAA,
climate.gov,Department of Commerce,NOAA,
cmist.noaa.gov,Department of Commerce,NOAA,
coast.noaa.gov,Department of Commerce,NOAA,
coastaloceanmodels.noaa.gov,Department of Commerce,NOAA,
coastalscience.noaa.gov,Department of Commerce,NOAA,
coastwatch.glerl.noaa.gov,Department of Commerce,NOAA,
coastwatch.noaa.gov,Department of Commerce,NOAA,
coastwatch.pfeg.noaa.gov,Department of Commerce,NOAA,
codes.nws.noaa.gov,Department of Commerce,NOAA,
coralreef.noaa.gov,Department of Commerce,NOAA,
coralreefwatch.noaa.gov,Department of Commerce,NOAA,
cordellbank.noaa.gov,Department of Commerce,NOAA,
coris.noaa.gov,Department of Commerce,NOAA,
councils.fisheries.noaa.gov,Department of Commerce,NOAA,
cpc.ncep.noaa.gov,Department of Commerce,NOAA,
cpo.noaa.gov,Department of Commerce,NOAA,
csl.noaa.gov,Department of Commerce,NOAA,
cwcaribbean.aoml.noaa.gov,Department of Commerce,NOAA,
cwcgom.aoml.noaa.gov,Department of Commerce,NOAA,
darrp.noaa.gov,Department of Commerce,NOAA,
data.noaa.gov,Department of Commerce,NOAA,
data.nssl.noaa.gov,Department of Commerce,NOAA,
data.pmel.noaa.gov,Department of Commerce,NOAA,
data1.gfdl.noaa.gov,Department of Commerce,NOAA,
dcs1.noaa.gov,Department of Commerce,NOAA,
dcs2.noaa.gov,Department of Commerce,NOAA,
dcs3.noaa.gov,Department of Commerce,NOAA,
dcs4.noaa.gov,Department of Commerce,NOAA,
deepseacoraldata.noaa.gov,Department of Commerce,NOAA,
dengueforecasting.noaa.gov,Department of Commerce,NOAA,
digital.weather.gov,Department of Commerce,NOAA,
discover.library.noaa.gov,Department of Commerce,NOAA,
distribution.charts.noaa.gov,Department of Commerce,NOAA,
diver.orr.noaa.gov,Department of Commerce,NOAA,
dods.ndbc.noaa.gov,Department of Commerce,NOAA,
drought.gov,Department of Commerce,NOAA,
dsfa.nmfs.noaa.gov,Department of Commerce,NOAA,
eastcoast.coastwatch.noaa.gov,Department of Commerce,NOAA,
ecofoci.noaa.gov,Department of Commerce,NOAA,
ecowatch.noaa.gov,Department of Commerce,NOAA,
eeo.oar.noaa.gov,Department of Commerce,NOAA,
emc.ncep.noaa.gov,Department of Commerce,NOAA,
encdirect.noaa.gov,Department of Commerce,NOAA,
erma.noaa.gov,Department of Commerce,NOAA,
esrl.noaa.gov,Department of Commerce,NOAA,
exemptedhmspermits.fisheries.noaa.gov,Department of Commerce,NOAA,
extranet.gfdl.noaa.gov,Department of Commerce,NOAA,
farallones.noaa.gov,Department of Commerce,NOAA,
ferret.pmel.noaa.gov,Department of Commerce,NOAA,
fieldterminal.nesdis.noaa.gov,Department of Commerce,NOAA,
fim.noaa.gov,Department of Commerce,NOAA,
fisheries.noaa.gov,Department of Commerce,NOAA,
fisheriespermits.noaa.gov,Department of Commerce,NOAA,
floats.pmel.noaa.gov,Department of Commerce,NOAA,
floridakeys.noaa.gov,Department of Commerce,NOAA,
flowergarden.noaa.gov,Department of Commerce,NOAA,
foss.nmfs.noaa.gov,Department of Commerce,NOAA,
fosterscholars.noaa.gov,Department of Commerce,NOAA,
geodesy.noaa.gov,Department of Commerce,NOAA,
geonetcastamericas.noaa.gov,Department of Commerce,NOAA,
gfdl.noaa.gov,Department of Commerce,NOAA,
gis.charttools.noaa.gov,Department of Commerce,NOAA,
gisc-washington.ncep.noaa.gov,Department of Commerce,NOAA,
glerl.noaa.gov,Department of Commerce,NOAA,
globalocean.noaa.gov,Department of Commerce,NOAA,
gml.noaa.gov,Department of Commerce,NOAA,
gnome.orr.noaa.gov,Department of Commerce,NOAA,
goes-r.gov,Department of Commerce,NOAA,
goes-r.noaa.gov,Department of Commerce,NOAA,
goes.noaa.gov,Department of Commerce,NOAA,
graphical.mdl.nws.noaa.gov,Department of Commerce,NOAA,
graphical.weather.gov,Department of Commerce,NOAA,
graphing.cbex.noaa.gov,Department of Commerce,NOAA,
graysreef.noaa.gov,Department of Commerce,NOAA,
greatlakes-mdc.diver.orr.noaa.gov,Department of Commerce,NOAA,
gsl.noaa.gov,Department of Commerce,NOAA,
gulfatlas.noaa.gov,Department of Commerce,NOAA,
gulfspillrestoration.noaa.gov,Department of Commerce,NOAA,
habitatblueprint.noaa.gov,Department of Commerce,NOAA,
habsos.noaa.gov,Department of Commerce,NOAA,
hads.ncep.noaa.gov,Department of Commerce,NOAA,
hawaiihumpbackwhale.noaa.gov,Department of Commerce,NOAA,
hdsc.nws.noaa.gov,Department of Commerce,NOAA,
heat.gov,Department of Commerce,NOAA,
hfradar.ndbc.noaa.gov,Department of Commerce,NOAA,
historicalcharts.noaa.gov,Department of Commerce,NOAA,
hmspermits.noaa.gov,Department of Commerce,NOAA,
hmsworkshop.fisheries.noaa.gov,Department of Commerce,NOAA,
hmt.noaa.gov,Department of Commerce,NOAA,
hwt.nssl.noaa.gov,Department of Commerce,NOAA,
icams-portal.gov,Department of Commerce,NOAA,
icoads.noaa.gov,Department of Commerce,NOAA,
imagesite.noaa.gov,Department of Commerce,NOAA,
incidentnews.noaa.gov,Department of Commerce,NOAA,
inport.nmfs.noaa.gov,Department of Commerce,NOAA,
inside.nssl.noaa.gov,Department of Commerce,NOAA,
integratedecosystemassessment.noaa.gov,Department of Commerce,NOAA,
inws.ncep.noaa.gov,Department of Commerce,NOAA,
iocm.noaa.gov,Department of Commerce,NOAA,
ioos.noaa.gov,Department of Commerce,NOAA,
joinnoaacorps.omao.noaa.gov,Department of Commerce,NOAA,
library.bldrdoc.gov,Department of Commerce,NOAA,
library.noaa.gov,Department of Commerce,NOAA,
login.diver.orr.noaa.gov,Department of Commerce,NOAA,
m.cameochemicals.noaa.gov,Department of Commerce,NOAA,
madis.ncep.noaa.gov,Department of Commerce,NOAA,
mag.ncep.noaa.gov,Department of Commerce,NOAA,
mageval.ncep.noaa.gov,Department of Commerce,NOAA,
manati.star.nesdis.noaa.gov,Department of Commerce,NOAA,
maps.coast.noaa.gov,Department of Commerce,NOAA,
maps.coastalscience.noaa.gov,Department of Commerce,NOAA,
maps.water.noaa.gov,Department of Commerce,NOAA,
marinecadastre.gov,Department of Commerce,NOAA,
marinedebris.noaa.gov,Department of Commerce,NOAA,
marinenavigation.noaa.gov,Department of Commerce,NOAA,
marineprotectedareas.noaa.gov,Department of Commerce,NOAA,
marinerhiring.noaa.gov,Department of Commerce,NOAA,
maritimeboundaries.noaa.gov,Department of Commerce,NOAA,
mdmap.orr.noaa.gov,Department of Commerce,NOAA,
mmhsrp.nmfs.noaa.gov,Department of Commerce,NOAA,
mobile.tidesandcurrents.noaa.gov,Department of Commerce,NOAA,
monitor.noaa.gov,Department of Commerce,NOAA,
montereybay.noaa.gov,Department of Commerce,NOAA,
mping.nssl.noaa.gov,Department of Commerce,NOAA,
mrms.nssl.noaa.gov,Department of Commerce,NOAA,
nacc.arl.noaa.gov,Department of Commerce,NOAA,
nauticalcharts.noaa.gov,Department of Commerce,NOAA,
ncc.nesdis.noaa.gov,Department of Commerce,NOAA,
ncei.noaa.gov,Department of Commerce,NOAA,
nco.ncep.noaa.gov,Department of Commerce,NOAA,
ncrmp.coralreef.noaa.gov,Department of Commerce,NOAA,
nctr.pmel.noaa.gov,Department of Commerce,NOAA,
ndbc.noaa.gov,Department of Commerce,NOAA,
ndl.noaa.gov,Department of Commerce,NOAA,
nesdis.noaa.gov,Department of Commerce,NOAA,
ngs.noaa.gov,Department of Commerce,NOAA,
nhc.noaa.gov,Department of Commerce,NOAA,
niwc.noaa.inl.gov,Department of Commerce,NOAA,
noaa.gov,Department of Commerce,NOAA,
noaa.inl.gov,Department of Commerce,NOAA,
noaasis.noaa.gov,Department of Commerce,NOAA,
nohrsc.noaa.gov,Department of Commerce,NOAA,
nomads.gfdl.noaa.gov,Department of Commerce,NOAA,
nomads.ncep.noaa.gov,Department of Commerce,NOAA,
nominate.noaa.gov,Department of Commerce,NOAA,
nowcoast.noaa.gov,Department of Commerce,NOAA,
npad.noaa.gov,Department of Commerce,NOAA,
nsd.rdc.noaa.gov,Department of Commerce,NOAA,
nsde.ngs.noaa.gov,Department of Commerce,NOAA,
nssl.noaa.gov,Department of Commerce,NOAA,
ntwc.arh.noaa.gov,Department of Commerce,NOAA,
ntwc.ncep.noaa.gov,Department of Commerce,NOAA,
nweb.ngs.noaa.gov,Department of Commerce,NOAA,
nwrfc.noaa.gov/rfc,Department of Commerce,NOAA,
nws.weather.gov,Department of Commerce,NOAA,
ocean.weather.gov,Department of Commerce,NOAA,
oceanacidification.noaa.gov,Department of Commerce,NOAA,
oceanexplorer.noaa.gov,Department of Commerce,NOAA,
oceannoise.noaa.gov,Department of Commerce,NOAA,
oceanservice.noaa.gov,Department of Commerce,NOAA,
oceantoday.noaa.gov,Department of Commerce,NOAA,
oceanview.pfeg.noaa.gov,Department of Commerce,NOAA,
oceanwatch.pifsc.noaa.gov,Department of Commerce,NOAA,
oculus.atdd.noaa.gov,Department of Commerce,NOAA,
oeab.noaa.gov,Department of Commerce,NOAA,
oedwebdbapps.iso.noaa.gov,Department of Commerce,NOAA,
olympiccoast.noaa.gov,Department of Commerce,NOAA,
om.cmdl.noaa.gov,Department of Commerce,NOAA,
omao.noaa.gov,Department of Commerce,NOAA,
opendap.co-ops.nos.noaa.gov,Department of Commerce,NOAA,
orta.research.noaa.gov,Department of Commerce,NOAA,
osm.woc.noaa.gov,Department of Commerce,NOAA,
osmc.noaa.gov,Department of Commerce,NOAA,
ospo.noaa.gov,Department of Commerce,NOAA,
oss.research.noaa.gov,Department of Commerce,NOAA,
papahanaumokuakea.gov,Department of Commerce,NOAA,
passiveacoustics.fisheries.noaa.gov,Department of Commerce,NOAA,
phi.nssl.noaa.gov,Department of Commerce,NOAA,
pidvms.irc.noaa.gov,Department of Commerce,NOAA,
pier.seagrant.noaa.gov,Department of Commerce,NOAA,
pmel.noaa.gov,Department of Commerce,NOAA,
polar.ncep.noaa.gov,Department of Commerce,NOAA,
polarwatch.noaa.gov,Department of Commerce,NOAA,
portal.diver.orr.noaa.gov,Department of Commerce,NOAA,
products.coastalscience.noaa.gov,Department of Commerce,NOAA,
psl.noaa.gov,Department of Commerce,NOAA,
pss.swpc.noaa.gov,Department of Commerce,NOAA,
publications.gsl.noaa.gov,Department of Commerce,NOAA,
qosap.research.noaa.gov,Department of Commerce,NOAA,
ra4-gifs.weather.gov,Department of Commerce,NOAA,
radar.weather.gov,Department of Commerce,NOAA,
radar2pub.ncep.noaa.gov,Department of Commerce,NOAA,
radar3pub.ncep.noaa.gov,Department of Commerce,NOAA,
rapidrefresh.noaa.gov,Department of Commerce,NOAA,
ready.noaa.gov,Department of Commerce,NOAA,
repository.library.noaa.gov,Department of Commerce,NOAA,
research.noaa.gov,Department of Commerce,NOAA,
response.restoration.noaa.gov,Department of Commerce,NOAA,
responselink.orr.noaa.gov,Department of Commerce,NOAA,
restoreactscienceprogram.noaa.gov,Department of Commerce,NOAA,
roc.noaa.gov,Department of Commerce,NOAA,
sab.noaa.gov,Department of Commerce,NOAA,
sanctuaries.noaa.gov,Department of Commerce,NOAA,
sarsat.noaa.gov,Department of Commerce,NOAA,
satable.ncep.noaa.gov,Department of Commerce,NOAA,
satepsanone.nesdis.noaa.gov,Department of Commerce,NOAA,
sciencecouncil.noaa.gov,Department of Commerce,NOAA,
scsshore.noaa.gov,Department of Commerce,NOAA,
sdr.gov,Department of Commerce,NOAA,
seafoodinspection.nmfs.noaa.gov,Department of Commerce,NOAA,
seagrant.noaa.gov,Department of Commerce,NOAA,
secatchshares.fisheries.noaa.gov,Department of Commerce,NOAA,
shield.gfdl.noaa.gov,Department of Commerce,NOAA,
shoreline.noaa.gov,Department of Commerce,NOAA,
sift.pmel.noaa.gov,Department of Commerce,NOAA,
sites.gsl.noaa.gov,Department of Commerce,NOAA,
slosh.nws.noaa.gov,Department of Commerce,NOAA,
sord.nv.doe.gov,Department of Commerce,NOAA,
sos.noaa.gov,Department of Commerce,NOAA,
space.commerce.gov,Department of Commerce,NOAA,
spaceweather.gov,Department of Commerce,NOAA,
spc.noaa.gov,Department of Commerce,NOAA,
spo.nmfs.noaa.gov,Department of Commerce,NOAA,
spot.weather.gov,Department of Commerce,NOAA,
ssd.noaa.gov,Department of Commerce,NOAA,
star.nesdis.noaa.gov,Department of Commerce,NOAA,
stateoftheocean.osmc.noaa.gov,Department of Commerce,NOAA,
stellwagen.noaa.gov,Department of Commerce,NOAA,
storm.aoml.noaa.gov,Department of Commerce,NOAA,
storms.ngs.noaa.gov,Department of Commerce,NOAA,
stormscdn.ngs.noaa.gov,Department of Commerce,NOAA,
swfsc-publications.fisheries.noaa.gov,Department of Commerce,NOAA,
sworm.gov,Department of Commerce,NOAA,
swpc.noaa.gov,Department of Commerce,NOAA,
tao.ndbc.noaa.gov,Department of Commerce,NOAA,
tap.orr.noaa.gov,Department of Commerce,NOAA,
techpartnerships.noaa.gov,Department of Commerce,NOAA,
testbed.aviationweather.gov,Department of Commerce,NOAA,
testbeds.noaa.gov,Department of Commerce,NOAA,
thunderbay.noaa.gov,Department of Commerce,NOAA,
tidesandcurrents.noaa.gov,Department of Commerce,NOAA,
token.gfdl.noaa.gov,Department of Commerce,NOAA,
toolkit.climate.gov,Department of Commerce,NOAA,
training.weather.gov,Department of Commerce,NOAA,
tsunami-cp.ncep.noaa.gov,Department of Commerce,NOAA,
tsunami.coast.noaa.gov,Department of Commerce,NOAA,
tsunami.gov,Department of Commerce,NOAA,
tsunami.noaa.gov,Department of Commerce,NOAA,
usicecenter.gov,Department of Commerce,NOAA,
vdatum.noaa.gov,Department of Commerce,NOAA,
videos.fisheries.noaa.gov,Department of Commerce,NOAA,
viewer.weather.noaa.gov,Department of Commerce,NOAA,
viz.pmel.noaa.gov,Department of Commerce,NOAA,
vlab.noaa.gov,Department of Commerce,NOAA,
vms.nmfs.noaa.gov,Department of Commerce,NOAA,
voices.nmfs.noaa.gov,Department of Commerce,NOAA,
vos.noaa.gov,Department of Commerce,NOAA,
water.noaa.gov,Department of Commerce,NOAA,
weather.gov,Department of Commerce,NOAA,
webapps.nwfsc.noaa.gov,Department of Commerce,NOAA,
webeast.ngs.noaa.gov,Department of Commerce,NOAA,
webform.pier.seagrant.noaa.gov,Department of Commerce,NOAA,
wof.nssl.noaa.gov,Department of Commerce,NOAA,
wpc.ncep.noaa.gov,Department of Commerce,NOAA,
wpo.noaa.gov,Department of Commerce,NOAA,
broadbandusa.ntia.gov,Department of Commerce,NTIA,
cscrip.ntia.gov,Department of Commerce,NTIA,
grants.ntia.gov,Department of Commerce,NTIA,
its.ntia.gov,Department of Commerce,NTIA,
ntia.gov,Department of Commerce,NTIA,
www2.ntia.gov,Department of Commerce,NTIA,
dblease.ntis.gov,Department of Commerce,NTIS,
dmf.ntis.gov,Department of Commerce,NTIS,
dmfcert.ntis.gov,Department of Commerce,NTIS,
ladmf.ntis.gov,Department of Commerce,NTIS,
ntis.gov,Department of Commerce,NTIS,
ntrl.ntis.gov,Department of Commerce,NTIS,
ptoft.ntis.gov,Department of Commerce,NTIS,
srs.ntis.gov,Department of Commerce,NTIS,
2001-2009.commerce.gov,Department of Commerce,OS,
2010-2014.commerce.gov,Department of Commerce,OS,
2014-2017.commerce.gov,Department of Commerce,OS,
2017-2021.commerce.gov,Department of Commerce,OS,
cldp.doc.gov,Department of Commerce,OS,
commerce.gov,Department of Commerce,OS,
data.commerce.gov,Department of Commerce,OS,
mbda.data.commerce.gov,Department of Commerce,OS,
oig.doc.gov,Department of Commerce,OS,
socmed.commerce.gov,Department of Commerce,OS,
assignment.uspto.gov,Department of Commerce,USPTO,
certifiedcopycenter.uspto.gov,Department of Commerce,USPTO,
developer.uspto.gov,Department of Commerce,USPTO,
eog-tmng.uspto.gov,Department of Commerce,USPTO,
estta.uspto.gov,Department of Commerce,USPTO,
fees.uspto.gov,Department of Commerce,USPTO,
